Year,Economy,Region,Scenario,Sales,Battery_cost_measure,Battery_cost,Total_cost,Battery_cost_Region,Battery_cost_Measure
2021,14_PE,Other Americas,Reference,2114.9999999999,China_Max,5696.945892423759,12049040.56247568,China,Max
2021,15_RP,Southeast Asia,Carbon Neutral,913.9999999999001,China_Max,5696.945892423759,5207008.545674746,China,Max
2021,15_RP,Southeast Asia,Reference,913.9999999999001,China_Max,5696.945892423759,5207008.545674746,China,Max
2021,16_RUS,Russia,Carbon Neutral,5933.0,China_Max,5696.945892423759,33799979.979750164,China,Max
2021,16_RUS,Russia,Reference,5933.0,China_Max,5696.945892423759,33799979.979750164,China,Max
2021,17_SIN,Southeast Asia,Reference,3316.0,China_Max,5696.945892423759,18891072.579277184,China,Max
2021,18_CT,Northeast Asia,Carbon Neutral,9675.9999999999,China_Max,5696.945892423759,55123648.45509172,China,Max
2021,21_VN,Southeast Asia,Reference,886.9999999999001,China_Max,5696.945892423759,5053191.006579305,China,Max
2021,19_THA,Southeast Asia,Carbon Neutral,18357.0,China_Max,5696.945892423759,104578835.74722295,China,Max
2021,19_THA,Southeast Asia,Reference,18357.0,China_Max,5696.945892423759,104578835.74722295,China,Max
2021,20_USA,USA,Carbon Neutral,246948.9999999998,China_Max,5696.945892423759,1406855091.1881537,China,Max
2021,20_USA,USA,Reference,256070.99999999988,China_Max,5696.945892423759,1458822631.6188436,China,Max
2021,21_VN,Southeast Asia,Carbon Neutral,886.9999999999001,China_Max,5696.945892423759,5053191.006579305,China,Max
2021,12_NZ,Oceania,Carbon Neutral,9282.0,China_Max,5696.945892423759,52879051.77347733,China,Max
2021,17_SIN,Southeast Asia,Carbon Neutral,3316.0,China_Max,5696.945892423759,18891072.579277184,China,Max
2021,18_CT,Northeast Asia,Reference,9675.9999999999,China_Max,5696.945892423759,55123648.45509172,China,Max
2021,11_MEX,Other Americas,Reference,22073.0,China_Max,5696.945892423759,125748686.68346962,China,Max
2021,10_MAS,Southeast Asia,Reference,1934.9999999999,China_Max,5696.945892423759,11023590.301839404,China,Max
2021,11_MEX,Other Americas,Carbon Neutral,22073.0,China_Max,5696.945892423759,125748686.68346962,China,Max
2021,01_AUS,Oceania,Carbon Neutral,19059.0,China_Max,5696.945892423759,108578091.76370442,China,Max
2021,01_AUS,Oceania,Reference,19059.0,China_Max,5696.945892423759,108578091.76370442,China,Max
2021,02_BD,Southeast Asia,Carbon Neutral,108.0,China_Max,5696.945892423759,615270.156381766,China,Max
2021,02_BD,Southeast Asia,Reference,108.0,China_Max,5696.945892423759,615270.156381766,China,Max
2021,03_CDA,Other Americas,Carbon Neutral,32493.999999999898,China_Max,5696.945892423759,185116559.82841703,China,Max
2021,04_CHL,Other Americas,Carbon Neutral,367.0,China_Max,5696.945892423759,2090779.1425195194,China,Max
2021,04_CHL,Other Americas,Reference,3731.9999999999,China_Max,5696.945892423759,21261002.070524897,China,Max
2021,05_PRC,China,Carbon Neutral,215211.0,China_Max,5696.945892423759,1226045422.4544096,China,Max
2021,03_CDA,Other Americas,Reference,32493.999999999898,China_Max,5696.945892423759,185116559.82841703,China,Max
2021,06_HKC,Northeast Asia,Carbon Neutral,149.99999999989998,China_Max,5696.945892423759,854541.883862994,China,Max
2021,05_PRC,China,Reference,215211.0,China_Max,5696.945892423759,1226045422.4544096,China,Max
2021,09_ROK,Northeast Asia,Reference,37644.9999999999,China_Max,5696.945892423759,214461528.12029183,China,Max
2021,09_ROK,Northeast Asia,Carbon Neutral,42584.0,China_Max,5696.945892423759,242598743.88297334,China,Max
2021,08_JPN,Northeast Asia,Reference,248885.9999999999,China_Max,5696.945892423759,1417890075.3817792,China,Max
2021,10_MAS,Southeast Asia,Carbon Neutral,1934.9999999999,China_Max,5696.945892423759,11023590.301839404,China,Max
2021,07_INA,Southeast Asia,Reference,8452.0,China_Max,5696.945892423759,48150586.68276561,China,Max
2021,07_INA,Southeast Asia,Carbon Neutral,8452.0,China_Max,5696.945892423759,48150586.68276561,China,Max
2021,06_HKC,Northeast Asia,Reference,786.0,China_Max,5696.945892423759,4477799.471445074,China,Max
2021,08_JPN,Northeast Asia,Carbon Neutral,90969.0,China_Max,5696.945892423759,518245470.8878969,China,Max
2022,16_RUS,Russia,Carbon Neutral,12260.9999999999,China_Max,5447.768510670054,66795089.709324986,China,Max
2022,12_NZ,Oceania,Reference,9774.9999999999,China_Max,5447.768510670054,53251937.19179923,China,Max
2022,13_PNG,Oceania,Carbon Neutral,0.0,China_Max,5447.768510670054,0.0,China,Max
2022,13_PNG,Oceania,Reference,0.0,China_Max,5447.768510670054,0.0,China,Max
2022,14_PE,Other Americas,Carbon Neutral,3685.0,China_Max,5447.768510670054,20075026.96181915,China,Max
2022,14_PE,Other Americas,Reference,3719.9999999999,China_Max,5447.768510670054,20265698.859692056,China,Max
2022,15_RP,Southeast Asia,Carbon Neutral,1301.0,China_Max,5447.768510670054,7087546.83238174,China,Max
2022,15_RP,Southeast Asia,Reference,1292.0,China_Max,5447.768510670054,7038516.915785709,China,Max
2022,16_RUS,Russia,Reference,12020.0,China_Max,5447.768510670054,65482177.498254046,China,Max
2022,12_NZ,Oceania,Carbon Neutral,9774.9999999999,China_Max,5447.768510670054,53251937.19179923,China,Max
2022,17_SIN,Southeast Asia,Reference,3679.9999999999,China_Max,5447.768510670054,20047788.11926525,China,Max
2022,18_CT,Northeast Asia,Carbon Neutral,12072.0,China_Max,5447.768510670054,65765461.46080889,China,Max
2022,18_CT,Northeast Asia,Reference,11934.0,China_Max,5447.768510670054,65013669.40633642,China,Max
2022,19_THA,Southeast Asia,Carbon Neutral,40372.999999999905,China_Max,5447.768510670054,219942758.08128157,China,Max
2022,19_THA,Southeast Asia,Reference,39519.0,China_Max,5447.768510670054,215290363.77316985,China,Max
2022,20_USA,USA,Carbon Neutral,287091.00000000023,China_Max,5447.768510670054,1564005309.4967778,China,Max
2022,20_USA,USA,Reference,296572.0,China_Max,5447.768510670054,1615655602.7464392,China,Max
2022,21_VN,Southeast Asia,Carbon Neutral,2464.0,China_Max,5447.768510670054,13423301.610291012,China,Max
2022,21_VN,Southeast Asia,Reference,2424.0,China_Max,5447.768510670054,13205390.86986421,China,Max
2022,17_SIN,Southeast Asia,Carbon Neutral,3679.9999999999,China_Max,5447.768510670054,20047788.11926525,China,Max
2022,11_MEX,Other Americas,Reference,31892.999999999996,China_Max,5447.768510670054,173745681.1108,China,Max
2022,06_HKC,Northeast Asia,Carbon Neutral,503.0,China_Max,5447.768510670054,2740227.560867037,China,Max
2022,10_MAS,Southeast Asia,Reference,4813.0,China_Max,5447.768510670054,26220109.841854967,China,Max
2022,01_AUS,Oceania,Carbon Neutral,21555.9999999999,China_Max,5447.768510670054,117432098.01600315,China,Max
2022,01_AUS,Oceania,Reference,21473.999999999898,China_Max,5447.768510670054,116985380.99812818,China,Max
2022,02_BD,Southeast Asia,Carbon Neutral,229.0,China_Max,5447.768510670054,1247538.9889434422,China,Max
2022,02_BD,Southeast Asia,Reference,224.9999999999,China_Max,5447.768510670054,1225747.9149002174,China,Max
2022,03_CDA,Other Americas,Carbon Neutral,33665.0,China_Max,5447.768510670054,183399126.91170737,China,Max
2022,03_CDA,Other Americas,Reference,33665.0,China_Max,5447.768510670054,183399126.91170737,China,Max
2022,04_CHL,Other Americas,Carbon Neutral,650.0,China_Max,5447.768510670054,3541049.531935535,China,Max
2022,04_CHL,Other Americas,Reference,5758.0,China_Max,5447.768510670054,31368251.084438168,China,Max
2022,05_PRC,China,Carbon Neutral,1181645.9999999988,China_Max,5447.768510670054,6437333869.55922,China,Max
2022,11_MEX,Other Americas,Carbon Neutral,32257.999999999898,China_Max,5447.768510670054,175734116.61719403,China,Max
2022,10_MAS,Southeast Asia,Carbon Neutral,4886.0,China_Max,5447.768510670054,26617796.943133883,China,Max
2022,06_HKC,Northeast Asia,Reference,1449.9999999999,China_Max,5447.768510670054,7899264.340471033,China,Max
2022,07_INA,Southeast Asia,Carbon Neutral,19318.999999999898,China_Max,5447.768510670054,105245439.85763422,China,Max
2022,07_INA,Southeast Asia,Reference,17324.0,China_Max,5447.768510670054,94377141.67884801,China,Max
2022,08_JPN,Northeast Asia,Carbon Neutral,95828.0,China_Max,5447.768510670054,522048760.8404899,China,Max
2022,08_JPN,Northeast Asia,Reference,229956.0,China_Max,5447.768510670054,1252747055.639643,China,Max
2022,09_ROK,Northeast Asia,Carbon Neutral,56150.999999999905,China_Max,5447.768510670054,305897649.6426337,China,Max
2022,09_ROK,Northeast Asia,Reference,48647.0,China_Max,5447.768510670054,265017594.7385661,China,Max
2022,05_PRC,China,Reference,1181645.9999999988,China_Max,5447.768510670054,6437333869.55922,China,Max
2023,15_RP,Southeast Asia,Reference,1465.0,China_Max,5198.591128916349,7615936.003862451,China,Max
2023,15_RP,Southeast Asia,Carbon Neutral,1644.9999999999,China_Max,5198.591128916349,8551682.407066874,China,Max
2023,14_PE,Other Americas,Reference,4145.0,China_Max,5198.591128916349,21548160.229358267,China,Max
2023,14_PE,Other Americas,Carbon Neutral,5170.0,China_Max,5198.591128916349,26876716.136497524,China,Max
2023,13_PNG,Oceania,Carbon Neutral,0.0,China_Max,5198.591128916349,0.0,China,Max
2023,12_NZ,Oceania,Reference,10380.0,China_Max,5198.591128916349,53961375.9181517,China,Max
2023,16_RUS,Russia,Carbon Neutral,15869.999999999998,China_Max,5198.591128916349,82501641.21590245,China,Max
2023,13_PNG,Oceania,Reference,0.0,China_Max,5198.591128916349,0.0,China,Max
2023,16_RUS,Russia,Reference,11813.9999999999,China_Max,5198.591128916349,61416155.59701722,China,Max
2023,19_THA,Southeast Asia,Carbon Neutral,52498.0,China_Max,5198.591128916349,272915637.0858505,China,Max
2023,17_SIN,Southeast Asia,Reference,3943.9999999999995,China_Max,5198.591128916349,20503243.412446078,China,Max
2023,18_CT,Northeast Asia,Carbon Neutral,15937.0,China_Max,5198.591128916349,82849946.82153985,China,Max
2023,18_CT,Northeast Asia,Reference,13725.0,China_Max,5198.591128916349,71350663.24437688,China,Max
2023,12_NZ,Oceania,Carbon Neutral,10786.9999999999,China_Max,5198.591128916349,56077202.50762013,China,Max
2023,19_THA,Southeast Asia,Reference,41142.999999999905,China_Max,5198.591128916349,213885634.81700483,China,Max
2023,20_USA,USA,Carbon Neutral,355386.9999999999,China_Max,5198.591128916349,1847511705.532194,China,Max
2023,20_USA,USA,Reference,323094.0,China_Max,5198.591128916349,1679633602.2060988,China,Max
2023,21_VN,Southeast Asia,Carbon Neutral,4068.9999999999995,China_Max,5198.591128916349,21153067.303560622,China,Max
2023,21_VN,Southeast Asia,Reference,3315.0,China_Max,5198.591128916349,17233329.592357695,China,Max
2023,17_SIN,Southeast Asia,Carbon Neutral,4105.9999999999,China_Max,5198.591128916349,21345415.17533001,China,Max
2023,11_MEX,Other Americas,Reference,36320.999999999905,China_Max,5198.591128916349,188818028.3933702,China,Max
2023,11_MEX,Other Americas,Carbon Neutral,42790.0,China_Max,5198.591128916349,222447714.40633056,China,Max
2023,10_MAS,Southeast Asia,Reference,6541.0,China_Max,5198.591128916349,34003984.57424184,China,Max
2023,01_AUS,Oceania,Reference,22586.0,China_Max,5198.591128916349,117415379.23770465,China,Max
2023,02_BD,Southeast Asia,Carbon Neutral,343.9999999999,China_Max,5198.591128916349,1788315.3483467042,China,Max
2023,02_BD,Southeast Asia,Reference,268.0,China_Max,5198.591128916349,1393222.4225495814,China,Max
2023,03_CDA,Other Americas,Carbon Neutral,33787.9999999999,China_Max,5198.591128916349,175649997.06382507,China,Max
2023,03_CDA,Other Americas,Reference,33787.9999999999,China_Max,5198.591128916349,175649997.06382507,China,Max
2023,04_CHL,Other Americas,Carbon Neutral,1159.9999999999,China_Max,5198.591128916349,6030365.709542444,China,Max
2023,04_CHL,Other Americas,Reference,6943.0,China_Max,5198.591128916349,36093818.20806621,China,Max
2023,05_PRC,China,Carbon Neutral,1770527.0000000014,China_Max,5198.591128916349,9204245955.706882,China,Max
2023,05_PRC,China,Reference,1435887.000000001,China_Max,5198.591128916349,7464589420.326314,China,Max
2023,01_AUS,Oceania,Carbon Neutral,24770.0,China_Max,5198.591128916349,128769102.26325795,China,Max
2023,06_HKC,Northeast Asia,Reference,1439.0,China_Max,5198.591128916349,7480772.634510626,China,Max
2023,07_INA,Southeast Asia,Carbon Neutral,28435.0,China_Max,5198.591128916349,147821938.7507364,China,Max
2023,07_INA,Southeast Asia,Reference,17579.0,China_Max,5198.591128916349,91386033.45522049,China,Max
2023,08_JPN,Northeast Asia,Carbon Neutral,128787.9999999999,China_Max,5198.591128916349,669516154.3108782,China,Max
2023,08_JPN,Northeast Asia,Reference,213665.0,China_Max,5198.591128916349,1110756973.5599117,China,Max
2023,09_ROK,Northeast Asia,Carbon Neutral,81879.0,China_Max,5198.591128916349,425655443.0445417,China,Max
2023,09_ROK,Northeast Asia,Reference,56087.0,China_Max,5198.591128916349,291573380.6475313,China,Max
2023,10_MAS,Southeast Asia,Carbon Neutral,7891.999999999901,China_Max,5198.591128916349,41027281.18940731,China,Max
2023,06_HKC,Northeast Asia,Carbon Neutral,768.9999999999,China_Max,5198.591128916349,3997716.578136152,China,Max
2024,15_RP,Southeast Asia,Reference,1893.9999999999002,China_Max,4949.413747162643,9374189.637125552,China,Max
2024,15_RP,Southeast Asia,Carbon Neutral,4005.0,China_Max,4949.413747162643,19822402.057386383,China,Max
2024,14_PE,Other Americas,Reference,4957.0,China_Max,4949.413747162643,24534243.94468522,China,Max
